GEOID,x,y,area,population,p_public_transportation_commute,p_walk_commute,mean_commute_time,p_bachelors_degree_or_higher,unemployment_rate,p_GRAPI<15%,p_GRAPI>35%,p_without_health_insurance,p_nonfamily_household,p_vacant_housing_units,p_renter_occupied,median_household_income,p_SNAP_benefits,p_below_poverty_line,p_white,p_age_students,median_age,p_mobile_homes,p_without_person_vehicle,p_veterans,2000,2004,2008,2012,2016
2013000100,-3380856.63037302,4213216.967490734,43470.80970352654,3425,0.1,53.8,4.5,12.7,3.5,30.1,28.4,45.6,37.4,22.2,38.1,69706,12.9,15.4,17.7,9.9,42.7,4.3,23.0,4.3,0.591495241019343,0.6895174280007732,0.7507122507122507,0.5593312738506269,0.7051820728291316
2016000100,-3899577.396102466,5123734.500378235,34710.63220090653,969,3.6,35.2,6.9,13.7,3.1,43.5,12.9,33.1,41.7,72.5,44.0,59167,13.3,16.6,28.2,11.3,37.1,0.0,36.2,15.5,0.5013927576601671,0.6884510339445962,0.7467819404418827,0.4174771374655247,0.4929967677389564
2016000200,-3658315.8431596686,4477050.308513472,6731.41027694696,4781,0.2,40.3,7.8,17.0,1.8,38.0,18.7,16.5,38.5,18.5,78.2,92273,4.3,7.2,29.8,15.2,37.8,1.4,11.9,3.9,0.5013927576601671,0.6884510339445962,0.7467819404418827,0.4174771374655247,0.4929967677389564
2020000101,-2400036.336814772,3807341.283716652,1749.1847866620044,5709,1.1,2.0,29.5,36.8,9.6,10.4,53.0,8.7,24.5,8.9,18.4,112575,5.9,11.1,85.5,20.1,36.1,2.1,1.3,18.3,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000102,-2408898.6541432217,3837409.8906506263,192.53875569464827,5439,0.1,1.5,27.8,25.0,3.9,0.0,65.0,14.3,23.9,9.6,24.1,86004,3.5,7.9,80.2,38.2,32.4,10.6,0.4,13.5,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000201,-2415504.4898980483,3845835.4062114763,3.5247763483172982,4780,0.0,3.9,22.6,36.6,4.7,7.2,35.9,10.5,31.2,7.2,39.4,98571,3.2,9.2,83.8,34.2,27.4,0.0,3.0,21.7,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000202,-2414640.658183733,3843991.937268201,9.630370682006133,6353,1.4,2.6,26.7,44.4,5.0,5.4,47.8,8.5,23.2,5.7,31.9,107717,5.6,3.0,81.7,23.5,38.4,1.4,8.9,19.8,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000203,-2415410.1944655967,3841316.101909343,15.743172864208386,11793,0.4,0.6,24.9,45.1,4.1,4.8,50.1,2.0,16.5,0.8,23.7,117151,1.5,2.9,84.0,29.0,31.8,2.3,0.5,24.9,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000204,-2419148.066596236,3820285.5506989774,537.4300074069133,3415,1.3,1.3,31.9,49.6,4.6,11.4,20.5,8.8,25.3,7.5,15.5,141346,2.9,1.8,83.6,36.8,40.6,1.1,0.9,21.0,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000300,-2423194.4306603195,3846309.6369623705,341.08852652587416,8693,0.1,13.5,10.5,32.7,7.3,1.1,61.6,0.6,11.5,3.4,98.9,59938,0.4,4.5,73.9,39.5,22.5,0.0,7.5,27.0,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000400,-2428320.4106850517,3853460.7538128383,75.3661224704507,5064,0.2,4.8,12.2,31.9,2.2,2.6,58.9,3.0,15.2,7.9,100.0,56389,3.5,4.4,57.4,36.3,22.4,0.0,4.2,30.3,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000500,-2434689.362503834,3855546.536188412,12.267921662680235,1951,6.3,5.2,19.6,32.4,5.5,18.9,32.1,17.3,58.1,9.7,77.4,52639,18.0,15.5,56.8,49.6,34.1,1.3,20.8,10.9,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000600,-2433431.0193430684,3851560.257017443,4.04165805155859,6616,3.9,4.9,25.7,14.1,10.2,13.2,52.9,16.8,32.3,16.9,68.1,42283,40.0,26.5,34.5,13.0,28.9,0.0,12.7,10.0,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000701,-2432109.4308433454,3847850.58844945,2.152990129878168,6405,4.0,1.5,20.0,18.8,4.0,11.7,34.4,10.0,33.6,9.4,45.2,77188,11.2,17.8,58.2,32.0,28.9,16.3,9.8,23.3,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000702,-2431420.90776407,3846794.218969647,2.1994469770056204,5744,0.6,0.1,17.5,20.5,4.1,8.3,38.0,11.7,33.3,7.9,56.2,70982,17.1,27.2,44.4,41.7,25.8,4.1,8.3,18.7,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000703,-2430278.0881193248,3846183.089416004,2.9370810523269726,5621,9.0,3.8,25.0,13.8,13.4,1.2,50.1,17.8,44.0,8.8,58.0,54750,24.1,22.8,34.6,18.5,27.1,11.0,16.6,17.5,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000801,-2432896.2518338608,3848994.450333654,2.669785638898839,7163,1.6,2.0,19.5,18.0,3.6,10.0,41.3,11.7,47.2,5.0,44.1,63197,13.1,18.5,35.1,22.8,29.9,6.9,10.5,17.3,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000802,-2434221.9481714754,3848149.324197376,2.454028457326033,5135,2.1,1.4,16.2,22.0,9.4,10.4,23.1,20.5,41.8,9.1,47.0,62969,15.6,10.4,47.3,28.4,29.3,7.2,3.0,11.3,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000901,-2434351.696708844,3850923.384421589,4.6890242980561165,5023,5.4,3.4,18.4,13.6,13.6,13.2,40.4,18.3,41.1,13.0,68.6,41310,35.0,31.8,26.9,24.6,29.2,16.1,16.3,4.3,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020000902,-2435860.6613647393,3851032.6048952737,1.2031076593049022,2914,1.5,2.3,15.3,25.5,4.9,11.7,43.3,5.9,46.9,12.6,67.5,48025,24.4,16.3,43.8,40.5,34.3,0.0,18.3,12.7,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
2020001000,-2435976.5709853484,3852485.162670115,1.8368220493573983,3745,10.8,5.3,16.2,25.2,10.4,13.5,46.5,18.4,65.6,16.7,84.9,50349,17.9,19.1,55.7,38.0,33.8,0.6,24.4,14.7,0.6175723717623158,0.5976390015319455,0.5061876247504989,0.5959344262295082,0.345061533606816
