,overall_hash,map_hash,settings_hash,state,state_num,N_districts,N_VOTERS_STV,N_CANDIDATES_PER_DISTRICT_GROUP,DISTANCE_FUNCTION,N_STV_CANDIDATES_MAX,VOTER_RAW_FILENAME,N_VOTERS,FEATURE_COLS,GROUP_COL,LOADING_FROM_DATA,fraction_voters_Democrat,fraction_voters_Republican,fraction_winners_Democrat,fraction_winners_Republican,medians,total_voters,total_winners,cohesion_partisan_score,cohesion_geographic,run_label,voting_method
0,6726f18892773394297d0d0390b83ea17f30c28e571fd40ac5121607bcc0c248stv,7f30c28e571fd40ac5121607bcc0c248,6726f18892773394297d0d0390b83ea1,OH,39,1,100.0,1.0,party_first_then_partisanscore,,data/OH_individuals_with_FIP_more.csv,10000,['dem_partisan_score'],party,True,0.4265,0.5735,0.375,0.625,"[1.4, 99.2, 16.7, 99.4, 55.1, 14.5, 25.8, 3.6, 38.6, 20.6, 88.2, 89.8, 45.7, 2.2, 74.3, 12.3]",10000,16,-33.91666935475968,-119674.12094741774,teststvmultiple,stv
1,6726f18892773394297d0d0390b83ea1c1e2b02779176556d7beb9b1ef1bf14astv,c1e2b02779176556d7beb9b1ef1bf14a,6726f18892773394297d0d0390b83ea1,OH,39,2,100.0,1.0,party_first_then_partisanscore,,data/OH_individuals_with_FIP_more.csv,10000,['dem_partisan_score'],party,True,0.4265,0.5735,0.375,0.625,"[99.2, 20.6, 1.3, 73.0, 87.4, 45.7, 2.2, 12.3, 26.0, 99.5, 20.0, 77.3, 89.4, 1.4, 43.9, 12.7]",10000,16,-32.49324159550679,-97472.6309747383,teststvmultiple,stv
2,6726f18892773394297d0d0390b83ea180ea7c61fd0e0ffeaef8856f748874cdstv,80ea7c61fd0e0ffeaef8856f748874cd,6726f18892773394297d0d0390b83ea1,OH,39,2,100.0,1.0,party_first_then_partisanscore,,data/OH_individuals_with_FIP_more.csv,10000,['dem_partisan_score'],party,True,0.4265,0.5735,0.375,0.625,"[1.4, 25.8, 73.0, 5.3, 89.8, 20.9, 99.3, 12.7, 26.2, 16.7, 87.4, 2.0, 45.7, 74.3, 99.2, 12.3]",10000,16,-32.60799576529902,-75004.75989193362,teststvmultiple,stv
3,6726f18892773394297d0d0390b83ea1db2049f4a6b4bc9db7a5e5f4e3f8e804stv,db2049f4a6b4bc9db7a5e5f4e3f8e804,6726f18892773394297d0d0390b83ea1,OH,39,2,100.0,1.0,party_first_then_partisanscore,,data/OH_individuals_with_FIP_more.csv,10000,['dem_partisan_score'],party,True,0.4265,0.5735,0.375,0.625,"[26.2, 16.7, 87.4, 2.0, 45.7, 74.3, 99.2, 12.3, 1.0, 25.8, 3.6, 73.0, 89.8, 20.9, 99.3, 12.7]",10000,16,-32.61745777515515,-73963.05264643917,teststvmultiple,stv
4,129d557da7372aabbfbd5a87361fbe8b80ea7c61fd0e0ffeaef8856f748874cdthiele_pav,80ea7c61fd0e0ffeaef8856f748874cd,129d557da7372aabbfbd5a87361fbe8b,OH,39,2,,,,,data/OH_individuals_with_FIP_more.csv,10000,['dem_partisan_score'],party,True,0.4265,0.5735,0.4375,0.5625,"[29.9, 57.5, 29.9, 43.9, 57.5, 39.0, 50.4, 36.7, 45.4, 71.5, 45.4, 62.7, 45.4, 57.6, 45.4, 54.7]",10000,16,-14.630843103914344,-77086.06428836299,teststvmultiple,thiele_pav
5,129d557da7372aabbfbd5a87361fbe8b80ea7c61fd0e0ffeaef8856f748874cdthiele_squared,80ea7c61fd0e0ffeaef8856f748874cd,129d557da7372aabbfbd5a87361fbe8b,OH,39,2,,,,,data/OH_individuals_with_FIP_more.csv,10000,['dem_partisan_score'],party,True,0.4265,0.5735,0.4375,0.5625,"[29.9, 74.8, 29.9, 61.8, 29.9, 52.8, 29.9, 46.4, 45.4, 84.8, 45.4, 74.6, 45.4, 68.5, 45.4, 64.2]",10000,16,-14.630843103914344,-77086.06428836298,teststvmultiple,thiele_squared
6,129d557da7372aabbfbd5a87361fbe8bc1e2b02779176556d7beb9b1ef1bf14athiele_squared,c1e2b02779176556d7beb9b1ef1bf14a,129d557da7372aabbfbd5a87361fbe8b,OH,39,2,,,,,data/OH_individuals_with_FIP_more.csv,10000,['dem_partisan_score'],party,True,0.4265,0.5735,0.5,0.5,"[43.2, 83.6, 43.2, 72.8, 43.2, 66.9, 43.2, 62.7, 31.4, 76.3, 31.4, 63.3, 31.4, 55.3, 31.4, 50.1]",10000,16,-14.754805694259725,-97530.57531158552,teststvmultiple,thiele_squared
7,129d557da7372aabbfbd5a87361fbe8bdb2049f4a6b4bc9db7a5e5f4e3f8e804thiele_pav,db2049f4a6b4bc9db7a5e5f4e3f8e804,129d557da7372aabbfbd5a87361fbe8b,OH,39,2,,,,,data/OH_individuals_with_FIP_more.csv,10000,['dem_partisan_score'],party,True,0.4265,0.5735,0.4375,0.5625,"[45.1, 71.2, 45.1, 62.6, 45.1, 57.3, 45.1, 54.5, 30.1, 57.6, 30.1, 44.3, 57.6, 39.2, 50.5, 37.0]",10000,16,-14.6378837136322,-77325.84570569891,teststvmultiple,thiele_pav
8,6726f18892773394297d0d0390b83ea1a4a1f428ca5892e1783d9731630ba131stv,a4a1f428ca5892e1783d9731630ba131,6726f18892773394297d0d0390b83ea1,OH,39,2,100.0,1.0,party_first_then_partisanscore,,data/OH_individuals_with_FIP_more.csv,10000,['dem_partisan_score'],party,True,0.4265,0.5735,0.375,0.625,"[1.0, 25.8, 3.6, 73.0, 20.6, 89.8, 99.3, 12.7, 26.2, 16.7, 87.4, 2.0, 45.7, 74.3, 99.2, 12.3]",10000,16,-32.38121083672411,-75864.90286553038,teststvmultiple,stv
9,129d557da7372aabbfbd5a87361fbe8b80ea7c61fd0e0ffeaef8856f748874cdthiele_approvalindependent,80ea7c61fd0e0ffeaef8856f748874cd,129d557da7372aabbfbd5a87361fbe8b,OH,39,2,,,,,data/OH_individuals_with_FIP_more.csv,10000,['dem_partisan_score'],party,True,0.4265,0.5735,0.0,1.0,"[29.9, 29.9, 29.9, 29.9, 29.9, 29.9, 29.9, 29.9, 45.4, 45.4, 45.4, 45.4, 45.4, 45.4, 45.4, 45.4]",10000,16,-13.990998552856666,-81122.20753432345,teststvmultiple,thiele_approvalindependent
